Iterations,Trails,Inputs,Action,Reward,Waypoint,Penalty
2,31,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,right,0
3,1,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
3,2,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,-0.5,forward,-0.5
3,3,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",forward,-1,right,-1
3,4,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",forward,-1,right,-1
3,5,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
3,6,"{'light': 'red', 'oncoming': None, 'right': 'forward', 'left': None}",left,-1,forward,-1
3,7,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",left,-1,forward,-1
3,8,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",forward,-1,forward,-1
3,9,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",forward,-1,forward,-1
3,10,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
3,11,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,forward,-0.5
3,12,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5,left,-0.5
3,13,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",left,-1,left,-1
3,14,"{'light': 'red', 'oncoming': 'right', 'right': None, 'left': None}",left,-1,left,-1
3,15,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
3,16,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
3,17,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,left,-0.5
3,18,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",None,0,right,0
3,19,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",None,0,right,0
3,20,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
3,21,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
3,22,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
3,23,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
3,24,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,forward,-0.5
3,25,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
