Iteration,Trial,Light,Oncoming,Right,Left,Action,Waypoint,Reward
97,2,green,None,None,None,None,left,0
97,3,green,None,None,None,None,left,0
97,4,green,None,None,None,None,left,0
97,5,red,None,None,None,None,left,0
97,6,red,None,None,None,None,left,0
97,7,red,None,None,None,None,left,0
97,8,red,None,None,None,None,left,0
97,9,green,None,None,None,None,left,0
97,10,green,None,None,None,None,left,0
97,11,green,None,None,None,None,left,0
97,12,green,None,None,None,None,left,0
97,13,red,None,None,None,None,left,0
97,14,red,None,None,None,None,left,0
97,15,red,None,None,None,None,left,0
97,16,red,None,None,None,None,left,0
97,17,green,None,None,None,None,left,0
97,18,green,None,None,None,None,left,0
97,19,green,None,None,None,None,left,0
97,20,green,None,None,None,None,left,0
97,21,red,None,None,None,None,left,0
97,22,red,None,None,None,None,left,0
97,23,red,None,None,None,None,left,0
97,24,red,None,None,None,None,left,0
97,25,green,None,None,None,None,left,0
97,26,green,None,None,None,None,left,0
97,27,green,None,None,None,None,left,0
97,28,green,None,None,None,None,left,0
97,29,red,None,None,None,None,left,0
97,30,red,None,None,None,None,left,0
97,31,red,None,None,None,None,left,0
98,1,red,None,left,None,right,right,2
98,2,green,None,None,None,forward,forward,2
98,3,green,None,None,None,forward,forward,2
98,4,red,None,None,None,None,forward,0
98,5,red,None,None,None,None,forward,0
98,6,green,None,None,None,forward,forward,2
98,7,green,None,None,None,forward,forward,2
98,8,green,None,None,None,forward,forward,2
98,9,green,None,None,None,forward,forward,12
99,1,red,None,None,None,None,left,0
99,2,red,None,None,None,None,left,0
99,3,red,None,None,None,None,left,0
99,4,red,None,None,None,None,left,0
99,5,red,None,None,None,None,left,0
99,6,green,None,None,None,None,left,0
99,7,green,None,None,None,None,left,0
99,8,green,None,None,None,None,left,0
99,9,green,None,None,None,None,left,0
99,10,green,None,None,None,None,left,0
99,11,red,None,None,None,None,left,0
99,12,red,None,None,None,None,left,0
99,13,red,None,None,None,None,left,0
99,14,red,None,None,None,None,left,0
99,15,red,None,None,None,None,left,0
99,16,green,None,None,None,None,left,0
99,17,green,None,None,None,None,left,0
99,18,green,None,None,None,None,left,0
99,19,green,None,None,None,None,left,0
99,20,green,None,None,None,None,left,0
99,21,red,None,None,None,None,left,0
100,1,red,None,None,None,None,left,0
100,2,red,None,None,None,None,left,0
100,3,red,None,None,None,None,left,0
100,4,red,None,None,None,None,left,0
100,5,green,None,None,None,None,left,0
100,6,green,None,None,None,None,left,0
100,7,green,None,None,None,None,left,0
100,8,green,None,None,None,None,left,0
100,9,red,None,None,None,None,left,0
100,10,red,None,None,None,None,left,0
100,11,red,None,None,None,None,left,0
100,12,red,None,None,None,None,left,0
100,13,green,None,None,None,None,left,0
100,14,green,None,None,None,None,left,0
100,15,green,None,None,None,None,left,0
100,16,green,None,None,None,None,left,0
100,17,red,None,None,None,None,left,0
100,18,red,None,None,None,None,left,0
100,19,red,None,None,None,None,left,0
100,20,red,None,None,None,None,left,0
100,21,green,None,None,None,None,left,0
