Iteration,Trial,Light,Oncoming,Right,Left,Action,Waypoint,Reward
58,5,green,None,None,None,forward,forward,2
58,6,red,None,None,None,None,forward,0
58,7,red,None,None,None,None,forward,0
58,8,red,None,None,None,None,forward,0
58,9,green,None,None,None,forward,forward,2
58,10,red,None,None,None,None,forward,0
58,11,green,None,right,None,forward,forward,2
58,12,red,None,None,None,None,forward,0
58,13,green,None,None,None,forward,forward,2
58,14,red,None,None,None,right,right,2
58,15,green,None,None,None,forward,forward,12
59,1,red,None,None,None,right,right,2
59,2,red,None,None,None,right,right,2
59,3,red,None,None,None,None,left,0
59,4,green,None,None,None,left,left,2
59,5,green,None,None,None,forward,forward,12
60,1,green,None,None,None,right,right,2
60,2,green,None,None,None,right,right,2
60,3,red,None,None,None,None,forward,0
60,4,green,None,None,None,forward,forward,2
60,5,red,None,None,None,None,forward,0
60,6,red,None,None,None,None,forward,0
60,7,green,None,None,None,forward,forward,2
60,8,red,None,None,None,None,forward,0
60,9,red,None,None,None,None,forward,0
60,10,green,None,None,None,forward,forward,12
61,1,green,None,None,None,right,right,2
61,2,red,None,None,None,right,right,2
61,3,green,None,None,None,forward,forward,2
61,4,green,None,None,None,forward,forward,2
61,5,red,None,None,None,None,forward,0
61,6,green,None,None,None,forward,forward,12
62,1,green,None,None,None,left,left,2
62,2,red,None,None,None,None,forward,0
62,3,red,None,None,None,None,forward,0
62,4,red,None,None,None,None,forward,0
62,5,red,None,None,None,None,forward,0
62,6,green,None,None,None,forward,forward,2
62,7,green,None,None,None,forward,forward,2
62,8,red,None,None,None,None,forward,0
62,9,red,None,None,None,None,forward,0
62,10,green,None,None,None,forward,forward,2
62,11,green,None,None,None,forward,forward,2
62,12,red,None,None,None,None,forward,0
62,13,green,None,None,None,forward,forward,2
62,14,red,None,None,None,None,forward,0
62,15,red,None,None,right,None,forward,0
62,16,green,None,None,None,forward,forward,2
62,17,green,None,None,None,left,left,2
62,18,green,None,None,None,forward,forward,12
63,1,red,None,None,None,right,right,2
63,2,green,None,None,None,forward,forward,2
63,3,red,None,None,None,None,forward,0
63,4,red,None,None,None,None,forward,0
63,5,green,None,None,None,forward,forward,2
63,6,red,None,None,None,None,forward,0
63,7,green,None,None,None,forward,forward,2
63,8,green,None,None,None,left,left,2
63,9,green,None,None,None,forward,forward,2
63,10,red,None,None,None,None,forward,0
63,11,red,None,None,None,None,forward,0
63,12,red,None,None,None,None,forward,0
63,13,green,None,None,None,forward,forward,2
63,14,red,None,None,None,None,forward,0
63,15,red,None,None,None,None,forward,0
63,16,red,None,None,None,None,forward,0
63,17,green,None,None,None,forward,forward,2
63,18,green,None,None,None,forward,forward,12
64,1,green,None,None,None,left,left,2
64,2,red,None,None,None,None,forward,0
64,3,red,None,None,None,None,forward,0
64,4,red,None,None,None,None,forward,0
64,5,green,None,None,None,forward,forward,2
64,6,green,None,None,None,right,right,2
64,7,red,None,None,None,None,forward,0
64,8,red,None,None,None,None,forward,0
64,9,red,None,None,None,None,forward,0
64,10,green,None,None,None,forward,forward,2
64,11,red,None,None,None,None,forward,0
64,12,red,None,None,None,None,forward,0
64,13,red,None,None,None,None,forward,0
64,14,red,None,None,None,None,forward,0
